file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,89,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,90,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,16
style.css,91,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,14
style.css,92,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,21
style.css,93,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,94,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,95,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,22
style.css,96,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,26
style.css,97,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,98,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,99,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,5
style.css,100,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,13
style.css,101,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,31
style.css,102,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,8
style.css,103,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,16
style.css,104,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,13
style.css,105,css,7d5e3773,Peter Shamoun,2025-01-24,20:17:22,-08:00,2025-01-24T20:17:22-08:00,0,34
style.css,106,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,18
style.css,107,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,108,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,109,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,11
style.css,110,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,13
style.css,111,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,30
style.css,112,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,19
style.css,113,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,12
style.css,114,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,0
style.css,115,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,0
style.css,116,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,12
style.css,117,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,19
style.css,118,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,13
style.css,119,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,31
style.css,120,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,12
style.css,121,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,12
style.css,122,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,18
style.css,123,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,15
style.css,124,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,13
style.css,125,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,17
style.css,126,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,33
style.css,127,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,0
style.css,128,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,0
style.css,129,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,18
style.css,130,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,49
style.css,131,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,132,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,0
style.css,133,css,972468ce,Peter Shamoun,2025-01-24,20:10:02,-08:00,2025-01-24T20:10:02-08:00,0,34
style.css,134,css,972468ce,Peter Shamoun,2025-01-24,20:10:02,-08:00,2025-01-24T20:10:02-08:00,0,13
style.css,135,css,7d5e3773,Peter Shamoun,2025-01-24,20:17:22,-08:00,2025-01-24T20:17:22-08:00,0,24
style.css,136,css,7d5e3773,Peter Shamoun,2025-01-24,20:17:22,-08:00,2025-01-24T20:17:22-08:00,0,40
style.css,137,css,972468ce,Peter Shamoun,2025-01-24,20:10:02,-08:00,2025-01-24T20:10:02-08:00,0,0
style.css,138,css,972468ce,Peter Shamoun,2025-01-24,20:10:02,-08:00,2025-01-24T20:10:02-08:00,0,0
style.css,139,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,26
style.css,140,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,13
style.css,141,css,7d5e3773,Peter Shamoun,2025-01-24,20:17:22,-08:00,2025-01-24T20:17:22-08:00,0,37
style.css,142,css,94b33bc5,Peter Shamoun,2025-01-10,20:33:03,-08:00,2025-01-10T20:33:03-08:00,0,18
style.css,143,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,11
style.css,144,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,22
style.css,145,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,146,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,0
style.css,147,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,38
style.css,148,css,7d9055f9,Peter Shamoun,2025-01-10,20:37:12,-08:00,2025-01-10T20:37:12-08:00,0,13
style.css,149,css,9b18c17a,Peter Shamoun,2025-01-14,18:57:26,-08:00,2025-01-14T18:57:26-08:00,0,33
